ordinal{string},comment{string},originator{string},norad_cat_id{string},object_name{string},object_type{string},classification_type{string},intldes{string},epoch{timestamp},epoch_microseconds{integer},mean_motion{decimal},eccentricity{decimal},inclination{decimal},ra_of_asc_node{decimal},arg_of_pericenter{decimal},mean_anomaly{decimal},ephemeris_type{string},element_set_no{string},rev_at_epoch{integer},bstar{decimal},mean_motion_dot{decimal},mean_motion_ddot{string},file{string},tle_line0{string},tle_line1{string},tle_line2{string},object_id{string},object_number{string},semimajor_axis{decimal},period{decimal},apogee{decimal},perigee{decimal}
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,11135,COSMOS 1058,PAYLOAD,U,78109H,2019-02-21T18:32:30Z,48864,12.3946512999999996,0.00370289999999999985,74.0157999999999987,286.061599999999999,218.037299999999988,205.997199999999992,0,999,81959,0.00011006,-1.00000000000000002e-08,0,2414564,0 COSMOS 1058,1 11135U 78109H   19052.77257001 -.00000001 +00000-0 +11006-3 0  9995,2 11135 074.0158 286.0616 0037029 218.0373 205.9972 12.39465130819592,1978-109H,11135,7887.00799999999981,116.179000000000002,1538.07799999999997,1479.66799999999989
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,23560,ERS 2,PAYLOAD,U,95021A,2019-02-21T18:32:52Z,807488,15.2230937399999995,0.000393000000000000012,98.5060000000000002,137.37360000000001,34.3109999999999999,325.837699999999984,0,999,26884,4.75839999999999971e-05,1.00800000000000001e-05,0,2414044,0 ERS 2,1 23560U 95021A   19052.77283342  .00001008  00000-0  47584-4 0  9997,2 23560  98.5060 137.3736 0003930  34.3110 325.8377 15.22309374268842,1995-021A,23560,6877.01299999999992,94.5930000000000035,501.581000000000017,496.175999999999988
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43791,CAPELLA-1,PAYLOAD,U,18099AK,2019-02-21T18:33:34Z,813440,14.9559750000000005,0.00107149999999999997,97.7609000000000066,126.184299999999993,7.63510000000000044,352.503100000000018,0,999,1195,0.000150590000000000007,1.61499999999999995e-05,0,2414066,0 CAPELLA-1,1 43791U 18099AK  19052.77331960  .00001615  00000-0  15059-3 0  9990,2 43791  97.7609 126.1843 0010715   7.6351 352.5031 14.95597500 11955,2018-099AK,43791,6958.65499999999975,96.2819999999999965,587.975999999999999,573.063999999999965
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43603,BEIDOU 3M12,PAYLOAD,U,18067B,2019-02-21T18:34:43Z,140288,1.86231490000000011,0.000342000000000000019,54.9069999999999965,272.169600000000003,343.697900000000004,108.118200000000002,0,999,337,0,8.99999999999999986e-08,0,2414143,0 BEIDOU 3M12,1 43603U 18067B   19052.77411042  .00000009  00000-0  00000+0 0  9999,2 43603  54.9070 272.1696 0003420 343.6979 108.1182  1.86231490  3374,2018-067B,43603,27906.1389999999992,773.230999999999995,21537.5479999999989,21518.4599999999991
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,15471,COSMOS 1619,PAYLOAD,U,85003C,2019-02-21T18:34:53Z,441760,12.6619978900000003,0.00204190000000000014,82.609099999999998,313.509000000000015,26.0427,27.5178000000000011,0,999,57608,0.000143969999999999992,3.80000000000000015e-07,0,2414101,0 COSMOS 1619,1 15471U 85003C   19052.77422965  .00000038  00000-0  14397-3 0  9991,2 15471  82.6091 313.5090 0020419  26.0427  27.5178 12.66199789576088,1985-003C,15471,7775.59500000000025,113.725999999999999,1413.33699999999999,1381.58300000000008
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,2674,DIADEME 1,PAYLOAD,U,67011A,2019-02-21T18:35:01Z,105440,14.5476790400000002,0.0266594999999999992,39.9243000000000023,176.478199999999987,219.517799999999994,138.588300000000004,0,999,69939,8.4073999999999995e-05,4.5800000000000002e-06,0,2414564,0 DIADEME 1,1  2674U 67011A   19052.77431835 +.00000458 +00000-0 +84074-4 0  9993,2  2674 039.9243 176.4782 0266595 219.5178 138.5883 14.54767904699391,1967-011A,2674,7088.25500000000011,98.9839999999999947,899.089000000000055,521.150999999999954
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,716,TIROS 8,PAYLOAD,U,63054A,2019-02-21T18:35:46Z,217472,14.6947212599999997,0.00294560000000000004,58.4947999999999979,176.559899999999999,65.3763000000000005,295.033900000000017,0,999,94370,1.09030000000000005e-05,-1.21000000000000006e-06,0,2414125,0 TIROS 8,1   716U 63054A   19052.77484048 -.00000121  00000-0  10903-4 0  9993,2   716  58.4948 176.5599 0029456  65.3763 295.0339 14.69472126943708,1963-054A,716,7040.89000000000033,97.9939999999999998,683.495000000000005,642.015999999999963
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,27606,LATINSAT B,PAYLOAD,U,02058B,2019-02-21T18:36:02Z,315520,14.7219731599999992,0.0091336000000000004,64.5555999999999983,115.863299999999995,284.75139999999999,74.3478999999999957,0,999,86835,1.67999999999999984e-05,-3.39999999999999974e-07,0,2414047,0 LATINSAT B,1 27606U 02058B   19052.77502680 -.00000034  00000-0  16800-4 0  9995,2 27606  64.5556 115.8633 0091336 284.7514  74.3479 14.72197316868359,2002-058B,27606,7032.19899999999961,97.8119999999999976,718.293000000000006,589.833999999999946
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,39249,GONETS M 05,PAYLOAD,U,13048A,2019-02-21T18:37:30Z,558432,12.4288548700000003,0.0015076,82.4805000000000064,209.336700000000008,282.644200000000012,77.2951999999999941,0,999,24705,0.00021924999999999999,3.99999999999999982e-07,0,2414050,0 GONETS M 05,1 39249U 13048A   19052.77604813  .00000040  00000-0  21925-3 0  9992,2 39249  82.4805 209.3367 0015076 282.6442  77.2952 12.42885487247052,2013-048A,39249,7872.53099999999995,115.858999999999995,1506.2650000000001,1482.52800000000002
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,13377,COSMOS 1390,PAYLOAD,U,82073C,2019-02-21T18:38:26Z,884320,12.5333175899999993,0.0030010000000000002,74.0157999999999987,161.198000000000008,73.5772000000000048,39.4583999999999975,0,999,67408,5.56180000000000018e-05,-7.00000000000000048e-08,0,2414564,0 COSMOS 1390,1 13377U 82073C   19052.77670005 -.00000007 +00000-0 +55618-4 0  9997,2 13377 074.0158 161.1980 0030010 073.5772 039.4584 12.53331759674086,1982-073C,13377,7828.72599999999966,114.893000000000001,1474.08500000000004,1427.09699999999998
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43051,LEMUR 2 MCCULLAGH,PAYLOAD,U,17071Q,2019-02-21T18:38:31Z,291584,15.4237879499999995,4.91000000000000008e-05,51.6377000000000024,260.730099999999993,203.796400000000006,156.299900000000008,0,999,6806,0.000110349999999999999,4.43299999999999974e-05,0,2414095,0 LEMUR 2 MCCULLAGH,1 43051U 17071Q   19052.77675106  .00004433  00000-0  11035-3 0  9992,2 43051  51.6377 260.7301 0000491 203.7964 156.2999 15.42378795 68060,2017-071Q,43051,6817.22699999999986,93.3619999999999948,439.427000000000021,438.757999999999981
